N	MC est. error	MC actual error	Value
4365	5.957023E-002	1.797353E-002	3.066078845
4406	5.906834E-002	5.574411E-003	3.089626788
4446	5.988900E-002	1.106919E-001	3.194744288
4487	5.728285E-002	3.499944E-002	3.049052938
4529	5.782217E-002	3.201460E-002	3.052037776
4571	5.802773E-002	3.432764E-002	3.118380019
4613	5.778468E-002	3.607483E-002	3.120127210
4656	5.753791E-002	9.421246E-003	3.074631131
4699	5.776626E-002	9.762671E-002	3.181679088
4742	5.633066E-002	1.349886E-002	3.070553521
4786	5.631923E-002	3.326362E-002	3.117316001
4831	5.634484E-002	2.323292E-002	3.107285294
4875	5.645252E-002	1.743733E-002	3.101489704
4920	5.576183E-002	6.564796E-002	3.149700338
4966	5.614728E-002	7.533511E-002	3.159387486
5012	5.576585E-002	3.627712E-002	3.120329496
5058	5.579329E-002	6.758392E-002	3.151636301
5105	5.529462E-002	3.188121E-003	3.080864256
5152	5.432503E-002	2.881479E-002	3.112867171
5200	5.484558E-002	2.844199E-002	3.112494365
5248	5.393521E-002	7.234705E-002	3.156399426
5297	5.315804E-002	1.379601E-002	3.097848389
5346	5.360935E-002	3.825951E-002	3.122311887
5395	5.278636E-002	6.554146E-003	3.077498231
5445	5.220572E-002	1.886915E-003	3.082165462
5495	5.299961E-002	7.351952E-002	3.157571894
5546	5.239225E-002	8.240197E-003	3.092292574
5598	5.273323E-002	5.313126E-002	3.137183635
5649	5.244651E-002	7.983695E-002	3.163889324
5702	5.252390E-002	6.436986E-002	3.148422241
5754	5.189262E-002	2.125335E-002	3.062799027
5808	5.245246E-002	6.602012E-002	3.150072500
5861	5.154891E-002	4.128489E-002	3.125337262
5916	4.988576E-002	8.413168E-002	2.999920692
5970	4.997964E-002	6.588090E-002	3.018171475
6026	5.087503E-002	3.193981E-002	3.115992183
6081	5.045925E-002	5.703638E-002	3.141088757
6138	5.085952E-002	1.102497E-001	3.194302066
6194	4.938150E-002	3.309614E-002	3.117148519
6252	5.059611E-002	1.070242E-001	3.191076554
6310	4.911644E-002	2.095569E-002	3.105008063
6368	4.970295E-002	8.068718E-002	3.164739553
6427	4.907062E-002	1.625276E-002	3.100305141
6486	4.848246E-002	3.996211E-003	3.080056166
6546	4.826153E-002	3.229379E-002	3.116346165
6607	4.878827E-002	6.436797E-002	3.148420345
6668	4.758135E-002	8.895247E-003	3.075157130
6730	4.784957E-002	2.610176E-002	3.110154139
6792	4.726468E-002	2.750541E-002	3.111557786
6855	4.764356E-002	3.652138E-002	3.120573759
6918	4.714031E-002	2.019947E-002	3.104251846
6982	4.690446E-002	1.307744E-002	3.070974934
7047	4.644714E-002	2.033138E-002	3.063721001
7112	4.598227E-002	5.488496E-003	3.078563881
7178	4.735112E-002	8.756653E-002	3.171618906
7244	4.663530E-002	3.307672E-002	3.117129097
7311	4.576569E-002	2.509021E-002	3.058962163
7379	4.523052E-002	9.124974E-004	3.083139880
7447	4.586601E-002	8.900943E-002	3.173061803
7516	4.530056E-002	6.050821E-003	3.078001556
