0 0
3,80071044604633E-05 0
0,0181860038411451 6,01465025073915E-06
0,0182193012236381 6,04774814348952E-06
0,0182525986731504 6,08096730337323E-06
0,0182858961898048 6,11430795275141E-06
0,0183191937737241 6,14777031398968E-06
0,0183524914250315 6,18135460945813E-06
0,0183857891438497 6,21506106153134E-06
0,0184190869303018 6,24888989258841E-06
0,0184523847845106 6,28284132501292E-06
0,0184856827065992 6,31691558119299E-06
0,0185189806966903 6,35111288352124E-06
0,018552278754907 6,38543345439484E-06
0,0185855768813721 6,4198775162155E-06
0,0186188750762087 6,45444529138946E-06
0,0186521733395397 6,48913700232755E-06
0,0186854716714879 6,52395287144514E-06
0,0187187700721763 6,55889312116218E-06
0,0187520685417279 6,59395797390319E-06
0,0187853670802656 6,6291476520973E-06
0,0188186656879123 6,66446237817822E-06
0,0188519643647909 6,69990237458429E-06
0,0188852631110244 6,73546786375843E-06
0,0189185619267358 6,77115906814822E-06
0,0189518608120479 6,80697621020583E-06
0,0189851597670837 6,84291951238811E-06
0,0190184587919662 6,87898919715653E-06
0,0190517578868182 6,91518548697722E-06
0,0190850570517627 6,95150860432099E-06
0,0191183562869227 6,98795877166329E-06
0,0191516555924211 7,02453621148428E-06
0,0191849549683807 7,06124114626879E-06
0,0192182544149247 7,09807379850636E-06
0,0192515539321758 7,13503439069122E-06
0,019284853520257 7,17212314532233E-06
0,0193181531792913 7,20934028490335E-06
0,0193514529094017 7,24668603194269E-06
0,019384752710711 7,28416060895348E-06
0,0194180525833421 7,32176423845362E-06
0,0194513525274181 7,35949714296573E-06
0,0194846525430619 7,39735954501721E-06
0,0195179526303964 7,43535166714024E-06
0,0195512527895445 7,47347373187177E-06
0,0195845530206292 7,51172596175353E-06
0,0196178533237735 7,55010857933204E-06
0,0196511536991002 7,58862180715865E-06
0,0196844541467324 7,62726586778949E-06
0,0197177546667929 7,66604098378554E-06
0,0197510552594047 7,70494737771258E-06
0,0197843559246908 7,74398527214125E-06
0,019817656662774 7,783154889647E-06
0,0198509574737774 7,82245645281017E-06
0,0198842583578238 7,86189018421595E-06
0,0199175593150363 7,90145630645438E-06
0,0199508603455377 7,9411550421204E-06
0,0199841614494511 7,98098661381383E-06
0,0200174626268993 8,02095124413936E-06
0,0200507638780053 8,06104915570663E-06
0,020084065202892 8,10128057113013E-06
0,0201173666016825 8,14164571302933E-06
0,0201506680744995 8,18214480402857E-06
0,0201839696214662 8,22277806675716E-06
